model,AIC,BIC
"SARIMA (0, 0, 0)(0, 0, 0)[12]",5205.337199,5208.766544
"SARIMA (0, 0, 0)(0, 0, 1)[12]",5108.406244,5115.264935
"SARIMA (0, 0, 0)(0, 0, 2)[12]",5093.215894,5103.503931
"SARIMA (0, 0, 0)(0, 0, 3)[12]",5061.427722,5075.145105
"SARIMA (0, 0, 0)(0, 1, 0)[12]",4635.890131,4639.26541
"SARIMA (0, 0, 0)(0, 1, 1)[12]",4564.314089,4571.064646
"SARIMA (0, 0, 0)(0, 1, 2)[12]",4572.302589,4582.428424
"SARIMA (0, 0, 0)(0, 1, 3)[12]",4572.187032,4585.688146
"SARIMA (0, 0, 0)(1, 0, 0)[12]",4893.89908,4900.757771
"SARIMA (0, 0, 0)(1, 0, 1)[12]",4817.818106,4828.106143
"SARIMA (0, 0, 0)(1, 0, 2)[12]",4826.42696,4840.144342
"SARIMA (0, 0, 0)(1, 0, 3)[12]",4801.936711,4819.083439
"SARIMA (0, 0, 0)(1, 1, 0)[12]",4584.439768,4591.190325
"SARIMA (0, 0, 0)(1, 1, 1)[12]",4560.049069,4570.174904
"SARIMA (0, 0, 0)(1, 1, 2)[12]",4555.086096,4568.58721
"SARIMA (0, 0, 0)(1, 1, 3)[12]",4548.130204,4565.006596
"SARIMA (0, 0, 0)(2, 0, 0)[12]",4847.74552,4858.033557
"SARIMA (0, 0, 0)(2, 0, 1)[12]",4811.592565,4825.309947
"SARIMA (0, 0, 0)(2, 0, 2)[12]",4811.063907,4828.210635
"SARIMA (0, 0, 0)(2, 0, 3)[12]",4814.78831,4835.364384
"SARIMA (0, 0, 0)(2, 1, 0)[12]",4547.5577,4557.683535
"SARIMA (0, 0, 0)(2, 1, 1)[12]",4550.753104,4564.254218
"SARIMA (0, 0, 0)(2, 1, 2)[12]",4541.642746,4558.519138
"SARIMA (0, 0, 0)(2, 1, 3)[12]",4534.544973,4554.796644
"SARIMA (0, 0, 0)(3, 0, 0)[12]",4819.072469,4832.789852
"SARIMA (0, 0, 0)(3, 0, 1)[12]",4809.036114,4826.182842
"SARIMA (0, 0, 0)(3, 0, 2)[12]",4804.540912,4825.116986
"SARIMA (0, 0, 0)(3, 0, 3)[12]",4798.31552,4822.32094
"SARIMA (0, 0, 0)(3, 1, 0)[12]",4550.624208,4564.125321
"SARIMA (0, 0, 0)(3, 1, 1)[12]",4546.230441,4563.106834
"SARIMA (0, 0, 0)(3, 1, 2)[12]",4540.924576,4561.176247
"SARIMA (0, 0, 0)(3, 1, 3)[12]",4539.595189,4563.222138
"SARIMA (0, 0, 1)(0, 0, 0)[12]",5032.26111,5039.119801
"SARIMA (0, 0, 1)(0, 0, 1)[12]",4971.086405,4981.374441
"SARIMA (0, 0, 1)(0, 0, 2)[12]",4960.31477,4974.032153
